Rank,URL,SourcePath,ContentDir,Total,Input,Output,Tested,Testable,Maybe,Error
39,https://www.mongodb.com/docs/manual/applications/data-models-applications/,manual/manual/source/applications/data-models-applications.txt,manual,0,0,0,0,0,0,
40,https://www.mongodb.com/docs/manual/applications/data-models-relationships/,manual/manual/source/applications/data-models-relationships.txt,manual,0,0,0,0,0,0,
41,https://www.mongodb.com/docs/manual/applications/data-models-tree-structures/,manual/manual/source/applications/data-models-tree-structures.txt,manual,0,0,0,0,0,0,
42,https://www.mongodb.com/docs/manual/applications/indexes/,manual/manual/source/applications/indexes.txt,manual,0,0,0,0,0,0,
43,https://www.mongodb.com/docs/manual/applications/replication/,manual/manual/source/applications/replication.txt,manual,0,0,0,0,0,0,
44,https://www.mongodb.com/docs/manual/changeStreams/,manual/manual/source/changeStreams.txt,manual,63,0,0,0,26,7,
45,https://www.mongodb.com/docs/manual/contents/,manual/manual/source/contents.txt,manual,0,0,0,0,0,0,
46,https://www.mongodb.com/docs/manual/core/LDAP-deprecation/,manual/manual/source/core/LDAP-deprecation.txt,manual,0,0,0,0,0,0,
47,https://www.mongodb.com/docs/manual/core/aggregation-pipeline-limits/,manual/manual/source/core/aggregation-pipeline-limits.txt,manual,2,0,0,0,0,2,
48,https://www.mongodb.com/docs/manual/core/aggregation-pipeline-optimization/,manual/manual/source/core/aggregation-pipeline-optimization.txt,manual,20,0,0,0,0,20,
49,https://www.mongodb.com/docs/manual/core/aggregation-pipeline-sharded-collections/,manual/manual/source/core/aggregation-pipeline-sharded-collections.txt,manual,0,0,0,0,0,0,
50,https://www.mongodb.com/docs/manual/core/aggregation-pipeline/,manual/manual/source/core/aggregation-pipeline.txt,manual,0,0,0,0,0,0,
51,https://www.mongodb.com/docs/manual/core/auditing/,manual/manual/source/core/auditing.txt,manual,0,0,0,0,0,0,
52,https://www.mongodb.com/docs/manual/core/authentication/,manual/manual/source/core/authentication.txt,manual,0,0,0,0,0,0,
53,https://www.mongodb.com/docs/manual/core/authorization/,manual/manual/source/core/authorization.txt,manual,0,0,0,0,0,0,
54,https://www.mongodb.com/docs/manual/core/automerger-concept/,manual/manual/source/core/automerger-concept.txt,manual,2,0,0,0,0,2,
55,https://www.mongodb.com/docs/manual/core/backups/,manual/manual/source/core/backups.txt,manual,2,0,0,0,0,2,
56,https://www.mongodb.com/docs/manual/core/bulk-write-operations/,manual/manual/source/core/bulk-write-operations.txt,manual,1,0,0,0,0,0,
57,https://www.mongodb.com/docs/manual/core/capped-collections/,manual/manual/source/core/capped-collections.txt,manual,1,0,0,0,0,1,
58,https://www.mongodb.com/docs/manual/core/capped-collections/change-max-docs-capped-collection/,manual/manual/source/core/capped-collections/change-max-docs-capped-collection.txt,manual,2,0,0,0,0,2,
59,https://www.mongodb.com/docs/manual/core/capped-collections/change-size-capped-collection/,manual/manual/source/core/capped-collections/change-size-capped-collection.txt,manual,2,0,0,0,0,2,
60,https://www.mongodb.com/docs/manual/core/capped-collections/check-if-collection-is-capped/,manual/manual/source/core/capped-collections/check-if-collection-is-capped.txt,manual,3,1,1,0,0,3,
61,https://www.mongodb.com/docs/manual/core/capped-collections/convert-collection-to-capped/,manual/manual/source/core/capped-collections/convert-collection-to-capped.txt,manual,4,1,1,0,0,4,
62,https://www.mongodb.com/docs/manual/core/capped-collections/create-capped-collection/,manual/manual/source/core/capped-collections/create-capped-collection.txt,manual,2,0,0,0,0,2,
63,https://www.mongodb.com/docs/manual/core/capped-collections/query-capped-collection/,manual/manual/source/core/capped-collections/query-capped-collection.txt,manual,6,2,2,0,0,6,
64,https://www.mongodb.com/docs/manual/core/causal-consistency-read-write-concerns/,manual/manual/source/core/causal-consistency-read-write-concerns.txt,manual,0,0,0,0,0,0,
65,https://www.mongodb.com/docs/manual/core/clustered-collections/,manual/manual/source/core/clustered-collections.txt,manual,8,0,0,0,0,8,
66,https://www.mongodb.com/docs/manual/core/collection-level-access-control/,manual/manual/source/core/collection-level-access-control.txt,manual,1,0,0,0,0,1,
67,https://www.mongodb.com/docs/manual/core/config-shard/,manual/manual/source/core/config-shard.txt,manual,2,0,0,0,0,2,
68,https://www.mongodb.com/docs/manual/core/crud/,manual/manual/source/core/crud.txt,manual,0,0,0,0,0,0,
69,https://www.mongodb.com/docs/manual/core/csfle/,manual/manual/source/core/csfle.txt,manual,2,0,0,0,2,0,
70,https://www.mongodb.com/docs/manual/core/csfle/features/,manual/manual/source/core/csfle/features.txt,manual,0,0,0,0,0,0,
71,https://www.mongodb.com/docs/manual/core/csfle/fundamentals/,manual/manual/source/core/csfle/fundamentals.txt,manual,0,0,0,0,0,0,
72,https://www.mongodb.com/docs/manual/core/csfle/fundamentals/automatic-encryption/,manual/manual/source/core/csfle/fundamentals/automatic-encryption.txt,manual,6,0,0,0,6,0,
73,https://www.mongodb.com/docs/manual/core/csfle/fundamentals/create-schema/,manual/manual/source/core/csfle/fundamentals/create-schema.txt,manual,11,0,0,0,0,0,
74,https://www.mongodb.com/docs/manual/core/csfle/fundamentals/encryption-algorithms/,manual/manual/source/core/csfle/fundamentals/encryption-algorithms.txt,manual,3,0,0,0,0,0,
75,https://www.mongodb.com/docs/manual/core/csfle/fundamentals/manage-keys/,manual/manual/source/core/csfle/fundamentals/manage-keys.txt,manual,11,0,0,0,6,0,
76,https://www.mongodb.com/docs/manual/core/csfle/fundamentals/manual-encryption/,manual/manual/source/core/csfle/fundamentals/manual-encryption.txt,manual,31,0,0,0,30,0,
77,https://www.mongodb.com/docs/manual/core/csfle/install/,manual/manual/source/core/csfle/install.txt,manual,1,0,0,0,0,0,
78,https://www.mongodb.com/docs/manual/core/csfle/quick-start/,manual/manual/source/core/csfle/quick-start.txt,manual,72,0,0,0,56,1,
79,https://www.mongodb.com/docs/manual/core/csfle/reference/,manual/manual/source/core/csfle/reference.txt,manual,0,0,0,0,0,0,
80,https://www.mongodb.com/docs/manual/core/csfle/reference/cryptographic-primitives/,manual/manual/source/core/csfle/reference/cryptographic-primitives.txt,manual,0,0,0,0,0,0,
81,https://www.mongodb.com/docs/manual/core/csfle/reference/csfle-options-clients/,manual/manual/source/core/csfle/reference/csfle-options-clients.txt,manual,6,0,0,0,6,0,
82,https://www.mongodb.com/docs/manual/core/csfle/reference/decryption/,manual/manual/source/core/csfle/reference/decryption.txt,manual,0,0,0,0,0,0,
83,https://www.mongodb.com/docs/manual/core/csfle/reference/encryption-components/,manual/manual/source/core/csfle/reference/encryption-components.txt,manual,0,0,0,0,0,0,
84,https://www.mongodb.com/docs/manual/core/csfle/reference/encryption-schemas/,manual/manual/source/core/csfle/reference/encryption-schemas.txt,manual,9,0,0,0,0,1,
85,https://www.mongodb.com/docs/manual/core/csfle/reference/install-library/,manual/manual/source/core/csfle/reference/install-library.txt,manual,10,0,0,0,8,2,
86,https://www.mongodb.com/docs/manual/core/csfle/reference/libmongocrypt/,manual/manual/source/core/csfle/reference/libmongocrypt.txt,manual,18,0,0,0,0,18,
87,https://www.mongodb.com/docs/manual/core/csfle/reference/limitations/,manual/manual/source/core/csfle/reference/limitations.txt,manual,0,0,0,0,0,0,
88,https://www.mongodb.com/docs/manual/core/csfle/reference/server-side-schema/,manual/manual/source/core/csfle/reference/server-side-schema.txt,manual,2,0,0,0,0,1,
89,https://www.mongodb.com/docs/manual/core/csfle/reference/supported-operations/,manual/manual/source/core/csfle/reference/supported-operations.txt,manual,0,0,0,0,0,0,
90,https://www.mongodb.com/docs/manual/core/csfle/tutorials/,manual/manual/source/core/csfle/tutorials.txt,manual,0,0,0,0,0,0,
91,https://www.mongodb.com/docs/manual/core/csfle/tutorials/aws/aws-automatic/,manual/manual/source/core/csfle/tutorials/aws/aws-automatic.txt,manual,85,0,0,0,72,1,
92,https://www.mongodb.com/docs/manual/core/csfle/tutorials/azure/azure-automatic/,manual/manual/source/core/csfle/tutorials/azure/azure-automatic.txt,manual,73,0,0,0,63,0,
93,https://www.mongodb.com/docs/manual/core/csfle/tutorials/gcp/gcp-automatic/,manual/manual/source/core/csfle/tutorials/gcp/gcp-automatic.txt,manual,73,0,0,0,68,1,
94,https://www.mongodb.com/docs/manual/core/csfle/tutorials/kmip/kmip-automatic/,manual/manual/source/core/csfle/tutorials/kmip/kmip-automatic.txt,manual,78,0,0,0,65,3,
95,https://www.mongodb.com/docs/manual/core/csfle/tutorials/right-to-erasure/,manual/manual/source/core/csfle/tutorials/right-to-erasure.txt,manual,8,0,0,0,7,0,
96,https://www.mongodb.com/docs/manual/core/cursors/,manual/manual/source/core/cursors.txt,manual,0,0,0,0,0,0,
97,https://www.mongodb.com/docs/manual/core/databases-and-collections/,manual/manual/source/core/databases-and-collections.txt,manual,3,0,0,0,1,2,
98,https://www.mongodb.com/docs/manual/core/defragment-sharded-collections/,manual/manual/source/core/defragment-sharded-collections.txt,manual,0,0,0,0,0,0,
99,https://www.mongodb.com/docs/manual/core/defragment-sharded-collections/monitor-defragmentation-sharded-collection/,manual/manual/source/core/defragment-sharded-collections/monitor-defragmentation-sharded-collection.txt,manual,3,0,0,0,0,3,
100,https://www.mongodb.com/docs/manual/core/defragment-sharded-collections/start-defragmenting-sharded-collection/,manual/manual/source/core/defragment-sharded-collections/start-defragmenting-sharded-collection.txt,manual,2,0,0,0,0,2,
101,https://www.mongodb.com/docs/manual/core/defragment-sharded-collections/stop-defragmenting-sharded-collection/,manual/manual/source/core/defragment-sharded-collections/stop-defragmenting-sharded-collection.txt,manual,2,0,0,0,0,2,
102,https://www.mongodb.com/docs/manual/core/distributed-queries/,manual/manual/source/core/distributed-queries.txt,manual,0,0,0,0,0,0,
103,https://www.mongodb.com/docs/manual/core/document/,manual/manual/source/core/document.txt,manual,9,0,0,0,0,9,
104,https://www.mongodb.com/docs/manual/core/dot-dollar-considerations/,manual/manual/source/core/dot-dollar-considerations.txt,manual,0,0,0,0,0,0,
105,https://www.mongodb.com/docs/manual/core/dot-dollar-considerations/dollar-prefix/,manual/manual/source/core/dot-dollar-considerations/dollar-prefix.txt,manual,10,0,0,0,0,5,
106,https://www.mongodb.com/docs/manual/core/dot-dollar-considerations/periods/,manual/manual/source/core/dot-dollar-considerations/periods.txt,manual,8,1,1,0,0,8,
107,https://www.mongodb.com/docs/manual/core/field-paths/,manual/manual/source/core/field-paths.txt,manual,9,0,0,0,0,9,
108,https://www.mongodb.com/docs/manual/core/gridfs/,manual/manual/source/core/gridfs.txt,manual,6,0,0,0,0,6,
109,https://www.mongodb.com/docs/manual/core/hashed-sharding/,manual/manual/source/core/hashed-sharding.txt,manual,2,0,0,0,0,2,
110,https://www.mongodb.com/docs/manual/core/index-case-insensitive/,manual/manual/source/core/index-case-insensitive.txt,manual,7,0,0,0,0,7,
111,https://www.mongodb.com/docs/manual/core/index-creation/,manual/manual/source/core/index-creation.txt,manual,14,0,0,0,0,13,
112,https://www.mongodb.com/docs/manual/core/index-hidden/,manual/manual/source/core/index-hidden.txt,manual,12,0,0,0,0,12,
113,https://www.mongodb.com/docs/manual/core/index-partial/,manual/manual/source/core/index-partial.txt,manual,14,0,0,14,0,14,
114,https://www.mongodb.com/docs/manual/core/index-sparse/,manual/manual/source/core/index-sparse.txt,manual,13,0,0,13,0,13,
115,https://www.mongodb.com/docs/manual/core/index-ttl/,manual/manual/source/core/index-ttl.txt,manual,8,0,0,0,0,8,
116,https://www.mongodb.com/docs/manual/core/index-unique/,manual/manual/source/core/index-unique.txt,manual,12,0,0,11,0,12,
117,https://www.mongodb.com/docs/manual/core/index-unique/convert-to-unique/,manual/manual/source/core/index-unique/convert-to-unique.txt,manual,12,4,4,0,0,12,
118,https://www.mongodb.com/docs/manual/core/index-unique/create-compound/,manual/manual/source/core/index-unique/create-compound.txt,manual,5,0,0,0,0,5,
119,https://www.mongodb.com/docs/manual/core/index-unique/create/,manual/manual/source/core/index-unique/create.txt,manual,2,0,0,0,0,2,
120,https://www.mongodb.com/docs/manual/core/indexes/create-index/,manual/manual/source/core/indexes/create-index.txt,manual,28,2,2,0,10,8,
121,https://www.mongodb.com/docs/manual/core/indexes/create-index/specify-index-name/,manual/manual/source/core/indexes/create-index/specify-index-name.txt,manual,4,0,0,0,0,4,
122,https://www.mongodb.com/docs/manual/core/indexes/drop-index/,manual/manual/source/core/indexes/drop-index.txt,manual,6,0,0,0,0,6,
123,https://www.mongodb.com/docs/manual/core/indexes/index-properties/,manual/manual/source/core/indexes/index-properties.txt,manual,0,0,0,0,0,0,
124,https://www.mongodb.com/docs/manual/core/indexes/index-types/,manual/manual/source/core/indexes/index-types.txt,manual,0,0,0,0,0,0,
125,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2d/,manual/manual/source/core/indexes/index-types/geospatial/2d.txt,manual,1,0,0,0,0,1,
126,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2d/calculate-distances/,manual/manual/source/core/indexes/index-types/geospatial/2d/calculate-distances.txt,manual,5,0,0,0,0,5,
127,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2d/create/,manual/manual/source/core/indexes/index-types/geospatial/2d/create.txt,manual,3,0,0,0,0,3,
128,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2d/create/define-location-precision/,manual/manual/source/core/indexes/index-types/geospatial/2d/create/define-location-precision.txt,manual,3,0,0,0,0,3,
129,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2d/create/define-location-range/,manual/manual/source/core/indexes/index-types/geospatial/2d/create/define-location-range.txt,manual,4,0,0,0,0,4,
130,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2d/internals/,manual/manual/source/core/indexes/index-types/geospatial/2d/internals.txt,manual,5,0,0,0,0,5,
131,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2d/query/,manual/manual/source/core/indexes/index-types/geospatial/2d/query.txt,manual,0,0,0,0,0,0,
132,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2d/query/points-within-a-shape/,manual/manual/source/core/indexes/index-types/geospatial/2d/query/points-within-a-shape.txt,manual,4,0,0,0,0,4,
133,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2d/query/proximity-flat-surface/,manual/manual/source/core/indexes/index-types/geospatial/2d/query/proximity-flat-surface.txt,manual,4,0,0,0,0,4,
134,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2dsphere/,manual/manual/source/core/indexes/index-types/geospatial/2dsphere.txt,manual,1,0,0,0,0,1,
135,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2dsphere/2dsphere-index-versions/,manual/manual/source/core/indexes/index-types/geospatial/2dsphere/2dsphere-index-versions.txt,manual,2,0,0,0,0,2,
136,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2dsphere/create/,manual/manual/source/core/indexes/index-types/geospatial/2dsphere/create.txt,manual,3,0,0,0,0,3,
137,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2dsphere/query/,manual/manual/source/core/indexes/index-types/geospatial/2dsphere/query.txt,manual,0,0,0,0,0,0,
138,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2dsphere/query/geojson-bound-by-polygon/,manual/manual/source/core/indexes/index-types/geospatial/2dsphere/query/geojson-bound-by-polygon.txt,manual,4,0,0,0,0,4,
139,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2dsphere/query/intersections-of-geojson-objects/,manual/manual/source/core/indexes/index-types/geospatial/2dsphere/query/intersections-of-geojson-objects.txt,manual,4,0,0,0,0,4,
140,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2dsphere/query/points-within-circle-on-sphere/,manual/manual/source/core/indexes/index-types/geospatial/2dsphere/query/points-within-circle-on-sphere.txt,manual,4,0,0,0,0,4,
141,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/2dsphere/query/proximity-to-geojson/,manual/manual/source/core/indexes/index-types/geospatial/2dsphere/query/proximity-to-geojson.txt,manual,4,0,0,0,0,4,
142,https://www.mongodb.com/docs/manual/core/indexes/index-types/geospatial/restrictions/,manual/manual/source/core/indexes/index-types/geospatial/restrictions.txt,manual,5,0,0,0,0,5,
143,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-compound/,manual/manual/source/core/indexes/index-types/index-compound.txt,manual,2,0,0,0,0,2,
144,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-compound/create-compound-index/,manual/manual/source/core/indexes/index-types/index-compound/create-compound-index.txt,manual,5,0,0,0,0,5,
145,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-compound/sort-order/,manual/manual/source/core/indexes/index-types/index-compound/sort-order.txt,manual,8,0,0,0,0,8,
146,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-geospatial/,manual/manual/source/core/indexes/index-types/index-geospatial.txt,manual,0,0,0,0,0,0,
147,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-hashed/,manual/manual/source/core/indexes/index-types/index-hashed.txt,manual,0,0,0,0,0,0,
148,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-hashed/create/,manual/manual/source/core/indexes/index-types/index-hashed/create.txt,manual,6,0,0,0,0,6,
149,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-multikey/,manual/manual/source/core/indexes/index-types/index-multikey.txt,manual,6,0,0,5,0,6,
150,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-multikey/create-multikey-index-basic/,manual/manual/source/core/indexes/index-types/index-multikey/create-multikey-index-basic.txt,manual,5,0,0,0,0,5,
151,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-multikey/create-multikey-index-embedded/,manual/manual/source/core/indexes/index-types/index-multikey/create-multikey-index-embedded.txt,manual,7,0,0,0,0,7,
152,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-multikey/multikey-index-bounds/,manual/manual/source/core/indexes/index-types/index-multikey/multikey-index-bounds.txt,manual,22,0,0,0,0,22,
153,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-single/,manual/manual/source/core/indexes/index-types/index-single.txt,manual,1,0,0,0,0,1,
154,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-single/create-embedded-object-index/,manual/manual/source/core/indexes/index-types/index-single/create-embedded-object-index.txt,manual,5,0,0,0,0,5,
155,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-single/create-single-field-index/,manual/manual/source/core/indexes/index-types/index-single/create-single-field-index.txt,manual,6,0,0,0,0,6,
156,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/,manual/manual/source/core/indexes/index-types/index-text.txt,manual,1,0,0,0,0,1,
157,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/control-text-search-results/,manual/manual/source/core/indexes/index-types/index-text/control-text-search-results.txt,manual,9,0,0,0,0,9,
158,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/create-text-index/,manual/manual/source/core/indexes/index-types/index-text/create-text-index.txt,manual,9,0,0,0,0,9,
159,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/create-wildcard-text-index/,manual/manual/source/core/indexes/index-types/index-text/create-wildcard-text-index.txt,manual,9,0,0,0,0,9,
160,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/limit-number-of-items-scanned-for-text-search/,manual/manual/source/core/indexes/index-types/index-text/limit-number-of-items-scanned-for-text-search.txt,manual,5,0,0,0,0,5,
161,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/specify-language-text-index/create-text-index-multiple-languages/,manual/manual/source/core/indexes/index-types/index-text/specify-language-text-index/create-text-index-multiple-languages.txt,manual,5,0,0,0,0,5,
162,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/specify-language-text-index/use-any-field-to-specify-language/,manual/manual/source/core/indexes/index-types/index-text/specify-language-text-index/use-any-field-to-specify-language.txt,manual,6,0,0,0,0,6,
163,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/specify-text-index-language/,manual/manual/source/core/indexes/index-types/index-text/specify-text-index-language.txt,manual,6,0,0,0,0,6,
164,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/text-index-properties/,manual/manual/source/core/indexes/index-types/index-text/text-index-properties.txt,manual,0,0,0,0,0,0,
165,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/text-index-restrictions/,manual/manual/source/core/indexes/index-types/index-text/text-index-restrictions.txt,manual,2,0,0,0,0,2,
166,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-text/text-index-versions/,manual/manual/source/core/indexes/index-types/index-text/text-index-versions.txt,manual,2,0,0,0,0,2,
167,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-wildcard/,manual/manual/source/core/indexes/index-types/index-wildcard.txt,manual,3,0,0,0,0,3,
168,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-wildcard/create-wildcard-index-all-fields/,manual/manual/source/core/indexes/index-types/index-wildcard/create-wildcard-index-all-fields.txt,manual,9,0,0,0,0,9,
169,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-wildcard/create-wildcard-index-multiple-fields/,manual/manual/source/core/indexes/index-types/index-wildcard/create-wildcard-index-multiple-fields.txt,manual,9,0,0,0,0,7,
170,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-wildcard/create-wildcard-index-single-field/,manual/manual/source/core/indexes/index-types/index-wildcard/create-wildcard-index-single-field.txt,manual,9,0,0,0,0,9,
171,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-wildcard/index-wildcard-compound/,manual/manual/source/core/indexes/index-types/index-wildcard/index-wildcard-compound.txt,manual,9,0,0,0,0,9,
172,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-wildcard/reference/,manual/manual/source/core/indexes/index-types/index-wildcard/reference.txt,manual,0,0,0,0,0,0,
173,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-wildcard/reference/embedded-object-behavior/,manual/manual/source/core/indexes/index-types/index-wildcard/reference/embedded-object-behavior.txt,manual,7,0,0,0,0,7,
174,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-wildcard/reference/restrictions/,manual/manual/source/core/indexes/index-types/index-wildcard/reference/restrictions.txt,manual,13,0,0,0,0,13,
175,https://www.mongodb.com/docs/manual/core/indexes/index-types/index-wildcard/reference/wildcard-projection-signature/,manual/manual/source/core/indexes/index-types/index-wildcard/reference/wildcard-projection-signature.txt,manual,4,0,0,0,0,4,
